id,summary
502076,"This Bolt Keychain is easily printable. It's made out of two pieces: a hollow bolt and hollow nut. Both with one closed side. The parts fit together and form a complete nut where you can store little items or notes in. . We don't like wasting material, so we designed it in a way that you won't need any support material. 3D Print and show yours!  "
637173,"I created a storage box for pills based on cutomisable box http://www.thingiverse.com/thing:384919. This box organizer allows you to drag 4 pillboxes (morning, afternoon, evening et night) Today is a French version I create the English version soon I also designed a French version of this item http://www.thingiverse.com/thing:453830"
2171250,Get you anti zombification meds neatly organized with this pill dispenser. It has 7 chambers and one blank to close it. Made this for my girlfriend when she had to take meds on a daily basis and hated the big boxes form the hospital. She is a big fan of the Resident Evil games so I surprised her with this. Print the bottom in white. The top in black and 4 of the covers in red and 3 in white. Glue the covers onto the top piece as shown in the pictures and use a screw to attach it to the bottom (one from a servo works nicely cause of the smooth shaft at the end of the screw) Don't tighten it to much or you won't be able to rotate it properly.
3519963,"This model is based on German pillbox, which was build near Warsaw University main gate during occupation. 1:56 (28 mm) scale"
1506985,"A generic Normandy Pillbox. Designed for Rapid Fire Rules and 20mm figures, it will fit a large  Flames of War Base. It's a three part print, with part-3 snapping into part-1 upon completion. Choose either door, it should just snap into place. And there are two roof models, one is plain the other has an AA emplacement. Note: For some reason the models may need to be flipped 180 degrees within your slicing program. I have no idea why they are importing to thingaverse upside down...any ideas?"
3713156,"This SD card holder fits 4 SD-cards and 1 MicroSD-card and can be easily customized to different sizes.  PILLBOX_SD_Card_Holder_Body.stl - 1 x MicroSD, 4 x SD Card PILLBOX_SD_Card_Holder_Body_2xMicro.stl - 2 x MicroSD, 4 x SD Card The Fusion 360 .f3d file is included if you want to make any modifications."
1506996,"This is simply a generic MG Pillbox for Normandy (or anywhere in Europe). It was designed for 20mm figures and use with playing Rapid Fire Rules, but it is sized for the medium Flames of Wars Bases, so could work for 15mm too. Choose which bunker door you prefer, and it just snaps into place. (I prefer the look of door 1)"
8626,"I wanted a small box to hold a few pills that would keep them clean and safe from crushing.  But this box could be used for anything small with some adjustments to the cavity shape.  The lid uses a dovetail joint for tightness and fit tolerance. This model is fully parametric, but some of the parameters need some work so that the adjusted box always works.  Some of the walls may be thicker than necessary.   The first design holds 4 pills in two stacks.  The second design holds 5 pills on their edge instead. The second version of the lid has a square indention (which bridges nicely) to make opening the box easier. The outside dimensions of the two boxes are identical."
2197664,"A pillbox with eight compartments. One for each weekday and one to be selected during transport. The lid snaps in permanently (you might have to press tightly to connect both parts).  A locking mechanism prevents unwanted opening of the compartments. To rotate the lid, pull it gently while turning. [Update 2017-03-24] ""Wochenspender V2.stl"" is a modified version with the names of the weekdays (MO-DI-MI-DO-FR-SA-SO) written on the outside rim of the bottom part.  [Update 2017-04-16] There is now a spanish version, too (LU-MA-MI-JU-VI-SA-DO): ""Wochenspender Espanol.stl"""
1348410,"Simple pillbox to add protection to your troops. designed for WH40K, but should work with any 28 mm heroic scale figures. Can accommodate up to 7 figures on 25 mm bases, or a single heavy weapon 60 mm base. Removable roof. Printable without support. get cover ! Update 27/02/2016 Modified the height of the wall from 35mm to 38mm to allow a more comfortable fit for WH40K mini. Update 19/02/2016 Added a roof top option. Glued on the roof, it give cover for more troops. The pillbox with his rooftop will protect a full infantry squad (10 fig.). Update 18/02/2016 Added a V2 for wall, better look, more support for the roof, but need to be printed with support."
